camera_name,light_name,camera_role,light_role,evaluation_role,a0_quality_gate_pass,high_m_stress_gate
Canon 5DMarkII,D65,seen,seen,ID,True,True
Canon 5DMarkII,A,seen,seen,ID,True,True
Canon 5DMarkII,FL2,seen,seen,ID,True,True
Canon 5DMarkII,FL11,seen,unseen,LIGHT_OOD,True,True
Nikon D3X,D65,seen,seen,ID,True,True
Nikon D3X,A,seen,seen,ID,True,True
Nikon D3X,FL2,seen,seen,ID,True,True
Nikon D3X,FL11,seen,unseen,LIGHT_OOD,True,True
Nikon D80,D65,seen,seen,ID,True,True
Nikon D80,A,seen,seen,ID,True,True
Nikon D80,FL2,seen,seen,ID,True,True
Nikon D80,FL11,seen,unseen,LIGHT_OOD,True,True
Pentax Q,D65,seen,seen,ID,True,True
Pentax Q,A,seen,seen,ID,True,True
Pentax Q,FL2,seen,seen,ID,True,True
Pentax Q,FL11,seen,unseen,LIGHT_OOD,True,True
SONY NEX-5N,D65,seen,seen,ID,True,True
SONY NEX-5N,A,seen,seen,ID,True,True
SONY NEX-5N,FL2,seen,seen,ID,True,True
SONY NEX-5N,FL11,seen,unseen,LIGHT_OOD,True,True
Olympus E-PL2,D65,seen,seen,ID,True,True
Olympus E-PL2,A,seen,seen,ID,True,True
Olympus E-PL2,FL2,seen,seen,ID,True,True
Olympus E-PL2,FL11,seen,unseen,LIGHT_OOD,True,True
Canon 1DMarkIII,D65,unseen,seen,CAMERA_OOD,True,True
Canon 1DMarkIII,A,unseen,seen,CAMERA_OOD,True,True
Canon 1DMarkIII,FL2,unseen,seen,CAMERA_OOD,True,True
Canon 1DMarkIII,FL11,unseen,unseen,JOINT_OOD,True,True
Nikon D5100,D65,unseen,seen,CAMERA_OOD,True,True
Nikon D5100,A,unseen,seen,CAMERA_OOD,True,True
Nikon D5100,FL2,unseen,seen,CAMERA_OOD,True,True
Nikon D5100,FL11,unseen,unseen,JOINT_OOD,True,True
