camera_name,light_name,camera_role,light_role,evaluation_role,a0_quality_gate_pass,am2_final_stress_gate,am2_overall_release_gate,config_hash,candidate_only
Canon 5DMarkII,D65,seen,seen,ID,True,True,False,672eafb8981e1ea324e10ccaa8dae47bb43af0e56bf05346afa87c26d065aea3,True
Canon 5DMarkII,A,seen,seen,ID,True,True,False,672eafb8981e1ea324e10ccaa8dae47bb43af0e56bf05346afa87c26d065aea3,True
Canon 5DMarkII,FL2,seen,seen,ID,True,True,False,672eafb8981e1ea324e10ccaa8dae47bb43af0e56bf05346afa87c26d065aea3,True
Canon 5DMarkII,FL11,seen,unseen,LIGHT_OOD,True,True,False,672eafb8981e1ea324e10ccaa8dae47bb43af0e56bf05346afa87c26d065aea3,True
Nikon D80,D65,seen,seen,ID,True,True,False,672eafb8981e1ea324e10ccaa8dae47bb43af0e56bf05346afa87c26d065aea3,True
Nikon D80,A,seen,seen,ID,True,True,False,672eafb8981e1ea324e10ccaa8dae47bb43af0e56bf05346afa87c26d065aea3,True
Nikon D80,FL2,seen,seen,ID,True,True,False,672eafb8981e1ea324e10ccaa8dae47bb43af0e56bf05346afa87c26d065aea3,True
Nikon D80,FL11,seen,unseen,LIGHT_OOD,True,True,False,672eafb8981e1ea324e10ccaa8dae47bb43af0e56bf05346afa87c26d065aea3,True
Olympus E-PL2,D65,seen,seen,ID,True,True,False,672eafb8981e1ea324e10ccaa8dae47bb43af0e56bf05346afa87c26d065aea3,True
Olympus E-PL2,A,seen,seen,ID,True,True,False,672eafb8981e1ea324e10ccaa8dae47bb43af0e56bf05346afa87c26d065aea3,True
Olympus E-PL2,FL2,seen,seen,ID,True,True,False,672eafb8981e1ea324e10ccaa8dae47bb43af0e56bf05346afa87c26d065aea3,True
Olympus E-PL2,FL11,seen,unseen,LIGHT_OOD,True,True,False,672eafb8981e1ea324e10ccaa8dae47bb43af0e56bf05346afa87c26d065aea3,True
Canon 300D,D65,seen,seen,ID,True,True,False,672eafb8981e1ea324e10ccaa8dae47bb43af0e56bf05346afa87c26d065aea3,True
Canon 300D,A,seen,seen,ID,True,True,False,672eafb8981e1ea324e10ccaa8dae47bb43af0e56bf05346afa87c26d065aea3,True
Canon 300D,FL2,seen,seen,ID,True,True,False,672eafb8981e1ea324e10ccaa8dae47bb43af0e56bf05346afa87c26d065aea3,True
Canon 300D,FL11,seen,unseen,LIGHT_OOD,True,True,False,672eafb8981e1ea324e10ccaa8dae47bb43af0e56bf05346afa87c26d065aea3,True
Canon 1DMarkIII,D65,unseen,seen,CAMERA_OOD,True,True,False,672eafb8981e1ea324e10ccaa8dae47bb43af0e56bf05346afa87c26d065aea3,True
Canon 1DMarkIII,A,unseen,seen,CAMERA_OOD,True,True,False,672eafb8981e1ea324e10ccaa8dae47bb43af0e56bf05346afa87c26d065aea3,True
Canon 1DMarkIII,FL2,unseen,seen,CAMERA_OOD,True,True,False,672eafb8981e1ea324e10ccaa8dae47bb43af0e56bf05346afa87c26d065aea3,True
Canon 1DMarkIII,FL11,unseen,unseen,JOINT_OOD,True,True,False,672eafb8981e1ea324e10ccaa8dae47bb43af0e56bf05346afa87c26d065aea3,True
Nikon D5100,D65,unseen,seen,CAMERA_OOD,True,True,False,672eafb8981e1ea324e10ccaa8dae47bb43af0e56bf05346afa87c26d065aea3,True
Nikon D5100,A,unseen,seen,CAMERA_OOD,True,True,False,672eafb8981e1ea324e10ccaa8dae47bb43af0e56bf05346afa87c26d065aea3,True
Nikon D5100,FL2,unseen,seen,CAMERA_OOD,True,True,False,672eafb8981e1ea324e10ccaa8dae47bb43af0e56bf05346afa87c26d065aea3,True
Nikon D5100,FL11,unseen,unseen,JOINT_OOD,True,True,False,672eafb8981e1ea324e10ccaa8dae47bb43af0e56bf05346afa87c26d065aea3,True
